session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_214655,79.300000,16,2.244051,1.262285,0.028440,1.015954,0.618707,0.000000,0.000000,0.071987,0.000000,0.000000,0.579381,0.023035,0.036058,0.638835,0.000000,0.000000,0.996801,0.002389,1.255979
hp_blink_20260617_214655,714.150000,16,2.187092,1.814861,0.378321,0.997152,0.616086,0.000000,0.000000,0.906390,0.000000,0.000000,0.636705,0.000000,0.000000,0.636705,0.000000,0.000000,0.702973,0.002389,1.255979
hp_blink_20260617_214655,82.350000,16,1.643092,1.181447,0.122736,1.011687,0.531960,0.138669,0.425565,0.325847,0.002819,0.005837,0.482968,0.000037,0.010248,0.003650,0.000000,0.000000,0.942652,0.002389,1.255979
hp_blink_20260617_214655,604.000000,16,2.864241,1.841923,0.032964,1.110955,0.562263,0.005261,0.290309,0.018122,0.004587,0.042680,0.107465,0.048694,0.176260,0.276262,0.000000,0.000000,0.133464,0.002389,1.255979
hp_blink_20260617_214655,405.000000,16,2.525254,2.164099,0.121753,0.882883,0.521514,0.035622,0.248832,0.143157,0.081734,0.117781,0.693946,0.000000,0.000000,0.446214,0.000000,0.000000,1.212549,0.002389,1.255979
hp_blink_20260617_214655,399.600000,16,2.303836,1.534154,0.377653,0.983344,0.575001,0.000000,0.000000,1.314345,0.000000,0.000000,0.483707,0.000000,0.000000,0.115883,0.000000,0.000000,1.733248,0.002389,1.255979
hp_blink_20260617_214655,643.700000,16,2.455850,1.734072,0.034159,0.984357,0.549666,0.000000,0.000000,0.358248,0.000000,0.000000,0.876261,0.000000,0.000000,0.876261,0.000000,0.000000,0.438878,0.002389,1.255979
hp_blink_20260617_214655,86.900000,16,2.927926,1.983396,0.086343,0.892518,0.443532,0.000000,0.000000,1.004582,0.000000,0.000000,1.004582,0.000000,0.000000,0.759302,0.000000,0.000000,0.542483,0.002389,1.255979
hp_blink_20260617_214655,185.950000,16,2.932564,1.882331,0.019467,1.018148,0.611423,0.000000,0.000000,0.674310,0.000000,0.000000,0.674310,0.000000,0.000000,0.667163,0.000000,0.000000,0.885177,0.002389,1.255979
hp_blink_20260617_214655,792.400000,16,2.312056,1.522450,0.535758,0.951465,0.514108,0.000104,0.006692,0.015606,0.000673,0.043129,0.015606,0.000000,0.000000,0.015606,0.000000,0.000000,0.265973,0.002389,1.255979
