session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,69.250000,16,0.979068,0.387096,0.371231,1.416738,0.791719,0.125712,0.453124,0.277435,0.088184,0.317854,0.277435,0.076355,0.226481,0.337137,0.000000,0.000000,0.343668,0.055748,0.541489
hp_blink_20260617_190655,0.600000,16,2.821966,2.076269,0.915166,1.030724,0.627144,0.000000,0.000000,0.951495,0.000000,0.000000,0.770013,0.000000,0.000000,0.770013,0.000000,0.000000,1.339731,0.055748,0.541489
hp_blink_20260617_190655,1.350000,16,2.669298,1.933159,0.914089,1.072227,0.515729,0.000000,0.000000,0.578364,0.000000,0.000000,0.155136,0.000000,0.000000,0.155136,0.000000,0.000000,0.244500,0.055748,0.541489
hp_blink_20260617_190655,70.250000,16,1.290517,0.701344,0.840096,1.218034,0.544490,0.000000,0.000000,0.350939,0.000000,0.000000,0.046017,0.000000,0.000000,0.229915,0.000000,0.000000,0.782159,0.055748,0.541489
hp_blink_20260617_214655,79.300000,16,2.996609,1.865515,0.652193,1.022380,0.687996,0.107388,0.294219,0.364994,0.000000,0.000000,0.574692,0.000000,0.000000,0.758081,0.000000,0.000000,0.032045,-0.002300,1.342951
hp_blink_20260617_214655,714.150000,16,2.369578,1.965401,0.119928,0.947015,0.567515,0.000000,0.000000,0.911079,0.000000,0.000000,0.911079,0.000000,0.000000,0.702864,0.324651,0.152738,2.125539,-0.002300,1.342951
hp_blink_20260617_214655,82.350000,16,2.195559,1.571186,0.040512,0.980705,0.591491,0.190040,0.381761,0.497800,0.000000,0.000000,0.616723,0.000000,0.000000,0.497800,0.000000,0.000000,1.785695,-0.002300,1.342951
hp_blink_20260617_214655,604.000000,16,3.021265,2.142045,0.099585,1.333334,0.588634,0.000000,0.000000,0.260529,0.000000,0.000000,0.663456,0.000000,0.000000,0.726960,0.165935,0.141058,1.176360,-0.002300,1.342951
hp_blink_20260617_214655,405.000000,16,2.190747,1.197972,0.001114,1.060094,0.507268,0.217901,0.475397,0.458356,0.114770,0.254533,0.450903,0.022579,0.152721,0.147846,0.000000,0.000000,1.725361,-0.002300,1.342951
hp_blink_20260617_214655,399.600000,16,2.303836,1.633052,0.113631,1.014013,0.539936,0.000000,0.000000,1.309656,0.000000,0.000000,0.017114,0.000000,0.000000,0.017114,0.000000,0.000000,0.063432,-0.002300,1.342951
hp_blink_20260617_214655,643.700000,16,2.455850,1.624997,0.051632,1.013163,0.594248,0.000000,0.000000,0.362938,0.027963,0.037699,0.741750,0.000000,0.000000,0.741750,0.000000,0.000000,0.273354,-0.002300,1.342951
hp_blink_20260617_214655,86.900000,16,2.927926,2.380264,0.105198,1.035818,0.634127,0.000000,0.000000,0.973064,0.000000,0.000000,0.973064,0.000000,0.000000,0.571900,0.000000,0.000000,1.122719,-0.002300,1.342951
hp_blink_20260617_214655,185.950000,16,2.932564,2.172092,0.003017,1.090629,0.527816,0.000000,0.000000,0.007647,0.000000,0.000000,0.007647,0.000000,0.000000,0.007647,0.000000,0.000000,0.224833,-0.002300,1.342951
hp_blink_20260617_214655,792.400000,16,2.312056,1.602738,0.112363,0.993614,0.578072,0.000000,0.000000,0.524160,0.000000,0.000000,0.053430,0.000000,0.000000,0.010123,0.000000,0.000000,0.010336,-0.002300,1.342951
