session,blink_time_s,n_frames,peak_abs_ppd,peak_ppd_value,ppd_jitter_slice,amp_change_rel,motion_energy_max,motion_energy_mean,coh5,sm5,dev5,coh9,sm9,dev9,coh13,sm13,dev13,rb_coh9,rb_sm9,rb_dev9,global_ppd_median,global_ppd_std
hp_blink_20260617_190655,24.703000,16,0.418001,-0.418001,0.040356,0.068691,0.378032,0.160791,0.285229,0.936766,0.304482,0.267413,0.937029,0.285384,0.291093,0.912503,0.319005,0.062594,0.826235,0.075758,0.106593,0.460166
hp_blink_20260617_190655,25.781000,16,0.284017,-0.284017,0.034192,0.532419,0.646742,0.299433,0.267532,0.934792,0.286194,0.278492,0.938359,0.296786,0.274535,0.925025,0.296786,0.000000,0.000000,0.226232,0.106593,0.460166
hp_blink_20260617_190655,26.969000,16,0.251821,-0.251821,0.042587,0.334540,1.101330,0.386358,0.317231,0.950788,0.333651,0.291639,0.892501,0.326767,0.263393,0.902155,0.291959,0.000000,0.000000,0.055560,0.106593,0.460166
hp_blink_20260617_190655,28.609000,16,0.484452,-0.484452,0.067693,0.453599,0.380303,0.150467,0.460105,0.871067,0.528208,0.392987,0.874509,0.449381,0.359162,0.882587,0.406942,0.035228,0.810328,0.043474,0.106593,0.460166
hp_blink_20260617_190655,30.891000,16,0.779883,-0.779883,0.381533,1.709825,1.335193,0.498983,0.002857,0.770227,0.003710,0.001762,0.144379,0.012204,0.008205,0.129509,0.063353,0.000000,0.000000,0.246478,0.106593,0.460166
hp_blink_20260617_190655,31.125000,16,0.779883,-0.779883,0.361704,0.855540,1.335193,0.502950,0.107173,0.662092,0.161870,0.046580,0.724838,0.064262,0.011641,0.633847,0.018366,0.000000,0.000000,0.173350,0.106593,0.460166
hp_blink_20260617_190655,33.281000,16,0.540618,-0.540618,0.029178,0.636220,0.700859,0.347505,0.557205,0.961178,0.579710,0.526248,0.943969,0.557484,0.517855,0.948571,0.545932,0.005327,0.020541,0.259337,0.106593,0.460166
hp_blink_20260617_190655,35.719000,16,0.500402,-0.500402,0.102072,0.179619,0.634829,0.277300,0.184080,0.903787,0.203676,0.188655,0.795169,0.237251,0.261388,0.805524,0.324495,0.029887,0.345056,0.086616,0.106593,0.460166
hp_blink_20260617_190655,37.031000,16,0.206101,0.206101,0.045254,0.348371,0.712603,0.353308,0.000073,0.929877,0.000079,0.008290,0.912433,0.009085,0.000072,0.912749,0.000079,0.000000,0.000000,0.373569,0.106593,0.460166
hp_blink_20260617_190655,38.141000,16,0.352903,0.352903,0.051386,0.079505,0.344785,0.167619,0.057172,0.958290,0.059660,0.035046,0.956168,0.036653,0.034024,0.928296,0.036653,0.019092,0.757038,0.025219,0.106593,0.460166
hp_blink_20260617_190655,42.250000,17,0.923309,0.923309,0.276363,0.582906,1.623107,0.552653,0.089039,0.573266,0.155318,0.098510,0.634243,0.155318,0.000372,0.583304,0.000637,0.000000,0.000000,0.419254,0.106593,0.460166
hp_blink_20260617_190655,45.328000,16,0.246671,0.246671,0.028539,0.177249,0.637422,0.183164,0.096814,0.939058,0.103097,0.067081,0.931829,0.071988,0.079763,0.934260,0.085376,0.014128,0.767479,0.018408,0.106593,0.460166
hp_blink_20260617_190655,47.906000,16,0.464072,0.464072,0.025796,0.400559,0.562597,0.231349,0.289332,0.947394,0.305398,0.310611,0.954633,0.325372,0.307768,0.945896,0.325372,0.073512,0.647780,0.113482,0.106593,0.460166
hp_blink_20260617_190655,49.500000,17,0.462690,0.462690,0.041679,0.075173,0.394325,0.173999,0.239207,0.930465,0.257084,0.204699,0.931152,0.219835,0.167109,0.933341,0.179044,0.034642,0.749758,0.046204,0.106593,0.460166
hp_blink_20260617_190655,49.828000,16,0.396945,0.396945,0.028431,0.138054,0.505158,0.225059,0.248736,0.943635,0.263593,0.246204,0.940397,0.261809,0.240999,0.937434,0.257084,0.045869,0.573681,0.079956,0.106593,0.460166
hp_blink_20260617_190655,52.625000,16,0.537566,0.537566,0.025724,0.622692,0.834961,0.364109,0.312494,0.938592,0.332939,0.339250,0.943682,0.359496,0.346637,0.944298,0.367084,0.000000,0.000000,0.156521,0.106593,0.460166
hp_blink_20260617_190655,52.922000,16,0.484619,0.484619,0.020166,0.456993,0.726523,0.264002,0.323037,0.977861,0.330350,0.317195,0.960179,0.330350,0.316728,0.954071,0.331976,0.044399,0.381488,0.116383,0.106593,0.460166
hp_blink_20260617_190655,57.156000,16,0.672071,0.672071,0.215582,0.396686,0.559294,0.252855,0.138836,0.766770,0.181066,0.161530,0.726588,0.222313,0.101337,0.559666,0.181066,0.047874,0.808537,0.059211,0.106593,0.460166
hp_blink_20260617_190655,58.719000,16,0.554345,0.554345,0.106076,0.264917,0.349027,0.150167,0.261901,0.715406,0.366087,0.251242,0.797452,0.315056,0.242557,0.769885,0.315056,0.027025,0.823276,0.032827,0.106593,0.460166
hp_blink_20260617_190655,58.922000,16,0.620946,0.620946,0.094555,0.305117,0.349027,0.142285,0.440992,0.949642,0.464377,0.356248,0.795636,0.447752,0.304615,0.832084,0.366087,0.030370,0.925153,0.032827,0.106593,0.460166
hp_blink_20260617_190655,60.422000,16,0.672587,0.672587,0.095238,0.282830,0.387940,0.220175,0.436954,0.842328,0.518746,0.330325,0.758972,0.435227,0.330427,0.792195,0.417103,0.021807,0.704820,0.030940,0.106593,0.460166
hp_blink_20260617_190655,60.797000,16,0.672587,0.672587,0.124320,0.021494,0.536371,0.184561,0.346174,0.845324,0.409517,0.290991,0.710570,0.409517,0.303194,0.726905,0.417103,0.056220,0.605911,0.092786,0.106593,0.460166
hp_blink_20260617_190655,61.141000,16,0.670555,0.670555,0.113447,0.481556,0.536371,0.142957,0.079606,0.911118,0.087371,0.011700,0.819863,0.014270,0.170557,0.824075,0.206968,0.001952,0.864830,0.002257,0.106593,0.460166
hp_blink_20260617_190655,66.500000,17,1.114960,1.114960,0.440967,0.416678,1.376426,0.670563,0.043309,0.154091,0.281064,0.000000,0.000000,0.230203,0.000000,0.000000,0.230203,0.000000,0.000000,0.177254,0.106593,0.460166
hp_blink_20260617_214655,923.281000,16,1.829997,1.829997,1.741124,0.887655,1.792916,0.698770,0.000000,0.000000,0.195746,0.000000,0.000000,0.195746,0.000000,0.000000,0.195746,0.024780,0.046793,0.529559,0.002389,1.255979
hp_blink_20260617_214655,929.125000,16,2.965761,-2.965761,1.990857,0.639266,1.120067,0.694868,0.000000,0.000000,0.537616,0.000000,0.000000,0.537616,0.000000,0.000000,0.107948,0.000000,0.000000,1.827217,0.002389,1.255979
